,quant,min_temp,max_temp,day-1,day-2,day-3,day-4,day-5,day-6,day-7,day-8,day-9,day-10
265,902400,11.0,16.0,460800,844800,0,10876800,422400,844800,1267200,0,0,0
266,0,19.0,25.0,902400,460800,844800,0,10876800,422400,844800,1267200,0,0
267,0,18.0,23.0,0,902400,460800,844800,0,10876800,422400,844800,1267200,0
268,0,18.0,26.0,0,0,902400,460800,844800,0,10876800,422400,844800,1267200
269,0,19.0,21.0,0,0,0,902400,460800,844800,0,10876800,422400,844800
270,2649600,19.0,29.0,0,0,0,0,902400,460800,844800,0,10876800,422400
271,0,19.0,23.0,2649600,0,0,0,0,902400,460800,844800,0,10876800
272,883200,20.0,27.0,0,2649600,0,0,0,0,902400,460800,844800,0
273,0,17.0,23.0,883200,0,2649600,0,0,0,0,902400,460800,844800
274,0,14.0,17.0,0,883200,0,2649600,0,0,0,0,902400,460800
275,844800,20.0,28.0,0,0,883200,0,2649600,0,0,0,0,902400
276,0,14.0,18.0,844800,0,0,883200,0,2649600,0,0,0,0
277,0,14.0,21.0,0,844800,0,0,883200,0,2649600,0,0,0
278,0,15.0,19.0,0,0,844800,0,0,883200,0,2649600,0,0
279,422400,22.0,30.0,0,0,0,844800,0,0,883200,0,2649600,0
280,19996800,22.0,30.0,422400,0,0,0,844800,0,0,883200,0,2649600
281,0,15.0,22.0,19996800,422400,0,0,0,844800,0,0,883200,0
282,883200,23.0,34.0,0,19996800,422400,0,0,0,844800,0,0,883200
283,0,18.0,24.0,883200,0,19996800,422400,0,0,0,844800,0,0
284,0,16.0,21.0,0,883200,0,19996800,422400,0,0,0,844800,0
285,412800,23.0,33.0,0,0,883200,0,19996800,422400,0,0,0,844800
286,422400,23.0,35.0,412800,0,0,883200,0,19996800,422400,0,0,0
287,0,15.0,19.0,422400,412800,0,0,883200,0,19996800,422400,0,0
288,412800,25.0,36.0,0,422400,412800,0,0,883200,0,19996800,422400,0
289,777600,27.0,35.0,412800,0,422400,412800,0,0,883200,0,19996800,422400
290,0,13.0,19.0,777600,412800,0,422400,412800,0,0,883200,0,19996800
291,0,14.0,20.0,0,777600,412800,0,422400,412800,0,0,883200,0
292,422400,25.0,32.0,0,0,777600,412800,0,422400,412800,0,0,883200
293,0,14.0,16.0,422400,0,0,777600,412800,0,422400,412800,0,0
294,844800,9.0,13.0,0,422400,0,0,777600,412800,0,422400,412800,0
295,0,13.0,16.0,844800,0,422400,0,0,777600,412800,0,422400,412800
296,0,13.0,18.0,0,844800,0,422400,0,0,777600,412800,0,422400
297,422400,11.0,15.0,0,0,844800,0,422400,0,0,777600,412800,0
298,422400,12.0,23.0,422400,0,0,844800,0,422400,0,0,777600,412800
299,422400,9.0,12.0,422400,422400,0,0,844800,0,422400,0,0,777600
300,422400,13.0,21.0,422400,422400,422400,0,0,844800,0,422400,0,0
301,1305600,19.0,29.0,422400,422400,422400,422400,0,0,844800,0,422400,0
302,6288000,21.0,29.0,1305600,422400,422400,422400,422400,0,0,844800,0,422400
303,422400,22.0,29.0,6288000,1305600,422400,422400,422400,422400,0,0,844800,0
304,0,14.0,18.0,422400,6288000,1305600,422400,422400,422400,422400,0,0,844800
305,0,14.0,17.0,0,422400,6288000,1305600,422400,422400,422400,422400,0,0
306,9999360,23.0,30.0,0,0,422400,6288000,1305600,422400,422400,422400,422400,0
307,0,13.0,22.0,9999360,0,0,422400,6288000,1305600,422400,422400,422400,422400
308,0,15.0,22.0,0,9999360,0,0,422400,6288000,1305600,422400,422400,422400
309,0,15.0,19.0,0,0,9999360,0,0,422400,6288000,1305600,422400,422400
310,7761600,24.0,35.0,0,0,0,9999360,0,0,422400,6288000,1305600,422400
311,0,14.0,19.0,7761600,0,0,0,9999360,0,0,422400,6288000,1305600
312,0,14.0,22.0,0,7761600,0,0,0,9999360,0,0,422400,6288000
